,time,price,signal
0,1501545600000,0.072459,hold
1,1501549200000,0.074399,hold
2,1501552800000,0.073357,hold
3,1501556400000,0.073579,hold
4,1501560000000,0.073895,hold
5,1501563600000,0.075494,hold
6,1501567200000,0.076179,hold
7,1501570800000,0.077671,hold
8,1501574400000,0.077939,hold
9,1501578000000,0.079513,hold
10,1501581600000,0.0787,hold
11,1501585200000,0.07644,hold
12,1501588800000,0.075355,hold
13,1501592400000,0.079824,hold
14,1501596000000,0.080707,hold
15,1501599600000,0.080445,hold
16,1501603200000,0.078986,hold
17,1501606800000,0.080694,hold
18,1501610400000,0.081282,hold
19,1501614000000,0.083278,hold
20,1501617600000,0.083166,hold
21,1501621200000,0.084502,hold
22,1501624800000,0.083368,hold
23,1501628400000,0.083675,hold
24,1501632000000,0.083568,hold
25,1501635600000,0.084101,hold
26,1501639200000,0.08303,hold
27,1501642800000,0.083236,hold
28,1501646400000,0.083191,hold
29,1501650000000,0.082453,hold
30,1501653600000,0.082327,hold
31,1501657200000,0.082113,hold
32,1501660800000,0.082033,hold
33,1501664400000,0.083004,hold
34,1501668000000,0.081898,hold
35,1501671600000,0.081359,hold
36,1501675200000,0.080901,hold
37,1501678800000,0.079893,hold
38,1501682400000,0.082294,hold
39,1501686000000,0.080988,hold
40,1501689600000,0.080383,hold
41,1501693200000,0.081338,hold
42,1501696800000,0.081507,hold
43,1501700400000,0.081041,hold
44,1501704000000,0.081007,hold
45,1501707600000,0.0811,hold
46,1501711200000,0.080583,hold
47,1501714800000,0.080607,hold
48,1501718400000,0.080168,hold
49,1501722000000,0.080438,hold
50,1501725600000,0.080041,hold
51,1501729200000,0.080201,hold
52,1501732800000,0.08056,hold
53,1501736400000,0.080491,hold
54,1501740000000,0.081042,hold
55,1501743600000,0.080821,hold
56,1501747200000,0.081702,hold
57,1501750800000,0.081758,hold
58,1501754400000,0.081595,hold
59,1501758000000,0.081554,hold
60,1501761600000,0.082721,hold
61,1501765200000,0.08304,hold
62,1501768800000,0.081244,hold
63,1501772400000,0.081576,hold
64,1501776000000,0.081086,hold
65,1501779600000,0.080969,hold
66,1501783200000,0.08083,hold
67,1501786800000,0.080431,hold
68,1501790400000,0.079108,hold
69,1501794000000,0.078706,hold
70,1501797600000,0.078743,hold
71,1501801200000,0.078731,hold
72,1501804800000,0.078965,hold
73,1501808400000,0.079132,hold
74,1501812000000,0.080241,hold
75,1501815600000,0.079976,hold
76,1501819200000,0.079796,hold
77,1501822800000,0.080252,hold
78,1501826400000,0.079758,hold
79,1501830000000,0.079964,hold
80,1501833600000,0.07939,hold
81,1501837200000,0.07853,hold
82,1501840800000,0.078189,hold
83,1501844400000,0.077605,hold
84,1501848000000,0.078319,hold
85,1501851600000,0.078007,hold
86,1501855200000,0.07826,hold
87,1501858800000,0.077614,hold
88,1501862400000,0.077461,hold
89,1501866000000,0.077448,hold
90,1501869600000,0.077347,hold
91,1501873200000,0.076951,hold
92,1501876800000,0.077509,hold
93,1501880400000,0.077245,hold
94,1501884000000,0.077293,hold
95,1501887600000,0.076843,hold
96,1501891200000,0.076563,hold
97,1501894800000,0.07625,hold
98,1501898400000,0.076152,hold
99,1501902000000,0.075476,hold
100,1501905600000,0.07407,hold
101,1501909200000,0.074378,hold
102,1501912800000,0.074962,hold
103,1501916400000,0.074301,hold
104,1501920000000,0.07675,hold
105,1501923600000,0.075162,hold
106,1501927200000,0.076432,hold
107,1501930800000,0.077809,hold
108,1501934400000,0.07756,hold
109,1501938000000,0.077828,hold
110,1501941600000,0.077158,hold
111,1501945200000,0.076737,hold
112,1501948800000,0.076978,hold
113,1501952400000,0.075749,hold
114,1501956000000,0.077867,hold
115,1501959600000,0.076738,hold
116,1501963200000,0.077467,hold
117,1501966800000,0.078526,hold
118,1501970400000,0.077661,hold
119,1501974000000,0.07819,hold
120,1501977600000,0.07916,hold
121,1501981200000,0.079496,hold
122,1501984800000,0.081246,hold
123,1501988400000,0.081091,hold
124,1501992000000,0.080338,hold
125,1501995600000,0.080299,hold
126,1501999200000,0.078978,hold
127,1502002800000,0.079193,hold
128,1502006400000,0.079039,hold
129,1502010000000,0.079752,hold
130,1502013600000,0.080158,hold
131,1502017200000,0.0802,hold
132,1502020800000,0.080791,hold
133,1502024400000,0.080306,hold
134,1502028000000,0.080194,hold
135,1502031600000,0.080132,hold
136,1502035200000,0.080934,hold
137,1502038800000,0.081,hold
138,1502042400000,0.080787,hold
139,1502046000000,0.080219,hold
140,1502049600000,0.080783,hold
141,1502053200000,0.082883,hold
142,1502056800000,0.081478,hold
143,1502060400000,0.081978,hold
144,1502064000000,0.081029,hold
145,1502067600000,0.080974,hold
146,1502071200000,0.080001,hold
147,1502074800000,0.080699,hold
148,1502078400000,0.081417,hold
149,1502082000000,0.080883,hold
150,1502085600000,0.080433,hold
151,1502089200000,0.081323,hold
152,1502092800000,0.080728,hold
153,1502096400000,0.080485,hold
154,1502100000000,0.08069,hold
155,1502103600000,0.081002,hold
156,1502107200000,0.081487,hold
157,1502110800000,0.081353,hold
